Vegetable,Year,Production to supply ratio (%)
"Carrots, turnips,
and swedes",2007,96.15874759171619
Mushrooms,2007,42.01371600779646
Lettuce,2007,39.86426675552572
Tomatoes,2007,16.984337083328523
Cabbages,2008,90.91144206823132
Cauliflowers and broccoli,2008,64.17843875172422
"Carrots, turnips,
and swedes",2008,96.01610969166975
Mushrooms,2008,39.09700857891475
Lettuce,2008,42.39672531699294
Tomatoes,2008,17.594348109822835
Cabbages,2009,92.90385085670643
Cauliflowers and broccoli,2009,69.91984683266482
"Carrots, turnips,
and swedes",2009,94.76567435323126
Mushrooms,2009,42.63121113181659
Lettuce,2009,47.34552541024152
Tomatoes,2009,18.217616862735717
Cabbages,2010,95.89311147939604
Cauliflowers and broccoli,2010,63.64676119007271
"Carrots, turnips,
and swedes",2010,98.2844895016193
Mushrooms,2010,42.563556750679005
Lettuce,2010,47.326398672000764
Tomatoes,2010,18.9686088380287
Cabbages,2011,93.84571086666224
Cauliflowers and broccoli,2011,56.08058740400826
"Carrots, turnips,
and swedes",2011,98.62682273908831
Mushrooms,2011,42.62233372194715
Lettuce,2011,49.02418372992251
Tomatoes,2011,17.980947640466745
Cabbages,2012,94.3883834864084
Cauliflowers and broccoli,2012,45.73886332818835
"Carrots, turnips,
and swedes",2012,96.12519544459347
Mushrooms,2012,49.27994632526885
Lettuce,2012,42.612946414154585
Tomatoes,2012,17.07307922042308
Cabbages,2013,90.92966670502489
Cauliflowers and broccoli,2013,47.53455842392837
"Carrots, turnips,
and swedes",2013,96.10835372642204
Mushrooms,2013,42.235822069824735
Lettuce,2013,42.43129606811126
Tomatoes,2013,18.25266401120203
Cabbages,2014,93.11468193748175
Cauliflowers and broccoli,2014,52.61909243501528
"Carrots, turnips,
and swedes",2014,101.33419386362372
Mushrooms,2014,42.917629753755904
Lettuce,2014,42.77374584405375
Tomatoes,2014,19.383458785250802
Cabbages,2015,90.65105693829646
Cauliflowers and broccoli,2015,51.739830849894645
"Carrots, turnips,
and swedes",2015,98.70596596282404
Mushrooms,2015,45.248807509487385
Lettuce,2015,40.167707793324446
Tomatoes,2015,19.650824784944952
Cabbages,2016,92.11695342034017
Cauliflowers and broccoli,2016,50.784588815497536
"Carrots, turnips,
and swedes",2016,94.15036284414816
Mushrooms,2016,44.91962038315502
Lettuce,2016,33.12111936591434
Tomatoes,2016,19.512901018365046
Cabbages,2017,91.73020864144262
Cauliflowers and broccoli,2017,55.39236169284316
"Carrots, turnips,
and swedes",2017,98.35690364865606
Mushrooms,2017,44.42409459782072
Lettuce,2017,37.88454422950086
Tomatoes,2017,17.843244952247684
Cabbages,2018,90.94436339423875
Cauliflowers and broccoli,2018,52.91005730849789
"Carrots, turnips,
and swedes",2018,98.38584843106388
Mushrooms,2018,43.74819258198722
Lettuce,2018,33.88202099605117
Tomatoes,2018,14.123515156268972
Cabbages,2019,87.04093048550537
Cauliflowers and broccoli,2019,54.75206928674963
"Carrots, turnips,
and swedes",2019,98.84622135968159
Mushrooms,2019,44.33444865039312
Lettuce,2019,34.73034825574234
Tomatoes,2019,13.07590962258098
Cabbages,2020,89.63435678149769
Cauliflowers and broccoli,2020,61.40473393384396
"Carrots, turnips,
and swedes",2020,96.5566990040732
Mushrooms,2020,47.46817044496072
Lettuce,2020,32.998590748113884
Tomatoes,2020,14.777721589265175
